POS Name,Date,Time,Tender Name,Price
POM Coop Store,1/21/19,1/21/19 11:18,Board Plus,3.8
POM Coop Store,1/21/19,1/21/19 11:36,Board Plus,2.5
POM Coop Store,1/21/19,1/21/19 11:47,Board Plus,3.5
POM Coop Store,1/21/19,1/21/19 11:51,Board Plus,4
POM Coop Store,1/21/19,1/21/19 11:51,Board Plus,8.1
POM Coop Store,1/21/19,1/21/19 11:59,Board Plus,8.7
POM Coop Store,1/21/19,1/21/19 12:01,Board Plus,10
POM Coop Store,1/21/19,1/21/19 12:13,Board Plus,3.5
POM Coop Store,1/21/19,1/21/19 12:19,Board Plus,5.25
POM Coop Store,1/21/19,1/21/19 12:51,Board Plus,7.75
POM Coop Store,1/21/19,1/21/19 12:57,Board Plus,4.6
POM Coop Store,1/21/19,1/21/19 12:58,Board Plus,4.6
POM Coop Store,1/21/19,1/21/19 13:02,Board Plus,2
POM Coop Store,1/21/19,1/21/19 13:05,Board Plus,2.75
POM Coop Store,1/21/19,1/21/19 13:17,Board Plus,2.6
POM Coop Store,1/21/19,1/21/19 13:20,Board Plus,7.5
POM Coop Store,1/21/19,1/21/19 13:21,Board Plus,6.95
POM Coop Store,1/21/19,1/21/19 13:23,Board Plus,3.95
POM Coop Store,1/21/19,1/21/19 13:32,Board Plus,2.19
POM Coop Store,1/21/19,1/21/19 13:35,Board Plus,5.8
POM Coop Store,1/21/19,1/21/19 13:39,Board Plus,5.2
POM Coop Store,1/21/19,1/21/19 13:40,Board Plus,6.8
POM Coop Store,1/21/19,1/21/19 13:41,Board Plus,0.5
POM Coop Store,1/21/19,1/21/19 13:42,Board Plus,5.9
POM Coop Store,1/21/19,1/21/19 13:42,Board Plus,2.7
POM Coop Store,1/21/19,1/21/19 13:42,Board Plus,2.14
POM Coop Store,1/21/19,1/21/19 13:43,Board Plus,21.75
POM Coop Store,1/21/19,1/21/19 13:45,Board Plus,11.25
POM Coop Store,1/21/19,1/21/19 13:46,Board Plus,27.1
POM Coop Store,1/21/19,1/21/19 13:47,Board Plus,3.6
POM Coop Store,1/21/19,1/21/19 13:47,Board Plus,7.24
POM Coop Store,1/21/19,1/21/19 13:48,Board Plus,12
POM Coop Store,1/21/19,1/21/19 13:49,Board Plus,10.6
POM Coop Store,1/21/19,1/21/19 13:54,Board Plus,3.05
POM Coop Store,1/21/19,1/21/19 13:56,Board Plus,4.2
POM Coop Store,1/21/19,1/21/19 13:57,Board Plus,4.99
POM Coop Store,1/21/19,1/21/19 13:58,Board Plus,6.4
POM Coop Store,1/21/19,1/21/19 13:58,Board Plus,4.6
POM Coop Store,1/21/19,1/21/19 13:59,Board Plus,1
POM Coop Store,1/21/19,1/21/19 14:01,Board Plus,3
POM Coop Store,1/21/19,1/21/19 14:02,Board Plus,1.5
POM Coop Store,1/21/19,1/21/19 14:17,Board Plus,6.37
POM Coop Store,1/21/19,1/21/19 14:22,Board Plus,3.9
POM Coop Store,1/21/19,1/21/19 14:26,Board Plus,5.8
POM Coop Store,1/21/19,1/21/19 14:27,Board Plus,3.4
POM Coop Store,1/21/19,1/21/19 14:37,Board Plus,2.99
POM Coop Store,1/21/19,1/21/19 14:48,Board Plus,17
POM Coop Store,1/21/19,1/21/19 14:51,Board Plus,3.7
POM Coop Store,1/21/19,1/21/19 14:52,Board Plus,13.7
POM Coop Store,1/21/19,1/21/19 14:54,Board Plus,1.25
POM Coop Store,1/21/19,1/21/19 14:55,Board Plus,2.85
POM Coop Store,1/21/19,1/21/19 14:58,Board Plus,8.65
POM Coop Store,1/21/19,1/21/19 15:02,Board Plus,4.5
POM Coop Store,1/21/19,1/21/19 15:09,Board Plus,4.25
POM Coop Store,1/21/19,1/21/19 15:11,Board Plus,2.5
POM Coop Store,1/21/19,1/21/19 15:13,Board Plus,5.1
POM Coop Store,1/21/19,1/21/19 15:17,Board Plus,2.4
POM Coop Store,1/21/19,1/21/19 15:18,Board Plus,12.8
POM Coop Store,1/21/19,1/21/19 15:18,Board Plus,2.4
POM Coop Store,1/21/19,1/21/19 15:21,Board Plus,9.37
POM Coop Store,1/21/19,1/21/19 15:22,Board Plus,8.5
POM Coop Store,1/21/19,1/21/19 15:23,Board Plus,1.49
POM Coop Store,1/21/19,1/21/19 15:35,Board Plus,4
POM Coop Store,1/21/19,1/21/19 15:37,Board Plus,4.7
POM Coop Store,1/21/19,1/21/19 15:38,Board Plus,9
POM Coop Store,1/21/19,1/21/19 15:50,Board Plus,2.6
POM Coop Store,1/21/19,1/21/19 15:55,Board Plus,7.5
POM Coop Store,1/21/19,1/21/19 15:55,Board Plus,5.75
POM Coop Store,1/21/19,1/21/19 15:55,Board Plus,2
POM Coop Store,1/21/19,1/21/19 15:58,Board Plus,1.3
POM Coop Store,1/21/19,1/21/19 16:18,Board Plus,5.4
POM Coop Store,1/21/19,1/21/19 16:18,Board Plus,5.49
POM Coop Store,1/21/19,1/21/19 16:27,Board Plus,5.3
POM Coop Store,1/21/19,1/21/19 16:31,Board Plus,3.95
POM Coop Store,1/21/19,1/21/19 16:32,Board Plus,4.6
POM Coop Store,1/21/19,1/21/19 16:34,Board Plus,9.24
POM Coop Store,1/21/19,1/21/19 16:35,Board Plus,6.6
POM Coop Store,1/21/19,1/21/19 16:48,Board Plus,5.79
POM Coop Store,1/21/19,1/21/19 16:50,Board Plus,4.99
POM Coop Store,1/21/19,1/21/19 16:56,Board Plus,1.5
POM Coop Store,1/21/19,1/21/19 17:01,Board Plus,2.1
POM Coop Store,1/21/19,1/21/19 17:01,Board Plus,2.1
POM Coop Store,1/21/19,1/21/19 17:01,Board Plus,2.1
POM Coop Store,1/21/19,1/21/19 17:35,Board Plus,1.85
POM Coop Store,1/21/19,1/21/19 17:41,Board Plus,2.35
POM Coop Store,1/21/19,1/21/19 17:53,Board Plus,8.44
POM Coop Store,1/21/19,1/21/19 17:56,Board Plus,1.85
POM Coop Store,1/22/19,1/22/19 8:57,Board Plus,1.75
POM Coop Store,1/22/19,1/22/19 9:02,Board Plus,3.5
